alg,clutter_mode,pfa,num_ref,num_guard,cluster_gap,merge_tol,nms_sep,max_peaks,multi_pct,multi_frames,total_peaks,peaks_per_frame,median_tap_sep,sep_pass_pct
OS,max_path,0.02,8,2,0,0,2,4,22.923070262781938,5295,26629,1.1528204684185464,7,100.0
CA,max_path,0.01,6,1,0,0,1,4,0.17749686133598858,41,8128,0.3518767046192476,34,100.0
OS,mean,0.02,8,1,0,0,1,6,64.06770855881207,14799,40934,1.7721113468115504,2,78.21354166666667
CA,max_path,0.02,4,1,1,1,1,4,0.567124117927183,131,8345,0.3612710506948353,25,100.0
GO,mti,0.02,4,1,1,1,0,6,0.01731676695960864,4,331,0.01432962465907615,2,100.0
GO,max_path,0.02,6,2,0,0,1,6,0.11688817697735833,27,5104,0.22096194640460626,34,100.0
CA,max_path,0.02,8,2,1,1,1,6,1.0346768258366164,239,10488,0.4540456296809386,32,100.0
OS,mti,0.005,6,2,0,0,1,6,1.6797263950820382,388,4937,0.21373219619896966,2,91.25964010282776
CA,mean,0.005,6,1,1,1,0,4,7.6626693796268235,1770,7955,0.34438720290921687,2,100.0
GO,mean,0.005,4,1,1,2,0,4,0.0,0,5,0.00021645958699510802,0,0.0
GO,mean,0.02,4,2,0,0,2,6,1.7403350794406685,402,3517,0.15225767349235897,2,100.0
OS,max_path,0.05,8,1,0,2,2,6,61.08489545001948,14110,44120,1.9100393956448332,14,100.0
OS,mti,0.02,4,2,0,2,1,6,0.012987575219706482,3,558,0.024156889908654056,3,100.0
CA,max_path,0.05,4,2,1,0,0,4,27.09208190830772,6258,26886,1.1639464911900947,19,100.0
CA,mean,0.05,6,2,1,2,1,6,33.34343478072644,7702,29622,1.282393177193818,24,100.0
CA,mti,0.05,6,2,1,2,1,6,26.763063336075156,6182,25451,1.101822589722499,24,100.0
OS,max_path,0.01,4,1,1,1,2,6,0.0,0,4,0.0001731676695960864,0,0.0
GO,mean,0.01,8,2,1,1,1,6,1.731676695960864,400,5151,0.22299666652236028,2,100.0
CA,mti,0.01,4,1,0,2,1,6,0.26840988787393394,62,2557,0.11069743278929824,9,100.0
OS,mean,0.02,4,2,1,1,1,6,0.25542231265422743,59,1953,0.0845491146802892,2,100.0
CA,mti,0.05,8,2,0,1,0,6,38.170483570717344,8817,28418,1.230269708645396,3,100.0
GO,mti,0.005,6,1,0,2,2,6,0.0,0,43,0.001861552448157929,0,0.0
CA,mti,0.02,8,1,1,1,0,4,12.80574916663059,2958,11950,0.5173384129183082,2,100.0
GO,mean,0.05,8,2,1,0,0,4,21.165418416381662,4889,18542,0.8027187324126586,2,85.58680892337536
OS,mti,0.02,8,1,0,2,2,6,17.100307372613532,3950,20245,0.8764448677431923,12,100.0
